station,line,product,direction,planned_when,actual_when,delay_seconds
alexanderplatz,S9,suburban,Flughafen BER,2026-08-04T03:26:00+02:00,2026-08-04T03:26:00+02:00,0.0
alexanderplatz,N40,bus,Perleberger Brücke via S+U Hauptbahnhof,2026-08-04T03:28:00+02:00,2026-08-04T03:29:00+02:00,60.0
alexanderplatz,N5,bus,S+U Hauptbahnhof,2026-08-04T03:30:00+02:00,2026-08-04T03:29:00+02:00,-60.0
alexanderplatz,N5,bus,"Hellersdorf, Riesaer Str.",2026-08-04T03:30:00+02:00,2026-08-04T03:30:00+02:00,0.0
alexanderplatz,N40,bus,S Karlshorst,2026-08-04T03:30:00+02:00,2026-08-04T03:30:00+02:00,0.0
alexanderplatz,N8,bus,S+U Hermannstr.,2026-08-04T03:30:00+02:00,2026-08-04T03:31:00+02:00,60.0
alexanderplatz,M4,tram,S Hackescher Markt,2026-08-04T03:37:00+02:00,2026-08-04T03:37:00+02:00,0.0
alexanderplatz,M5,tram,S+U Hauptbahnhof,2026-08-04T06:26:00+02:00,2026-08-04T06:28:00+02:00,120.0
alexanderplatz,S5,suburban,S Westkreuz (Berlin),2026-08-04T06:28:00+02:00,2026-08-04T06:28:00+02:00,0.0
alexanderplatz,U8,subway,Wittenau,2026-08-04T06:28:00+02:00,2026-08-04T06:28:00+02:00,0.0
alexanderplatz,S7,suburban,S Potsdam Hauptbahnhof,2026-08-04T06:30:00+02:00,2026-08-04T06:30:00+02:00,0.0
alexanderplatz,200,bus,S+U Zoologischer Garten via Potsdamer Platz,2026-08-04T06:32:00+02:00,2026-08-04T06:31:00+02:00,-60.0
alexanderplatz,M5,tram,"Hohenschönhausen, Zingster Str.",2026-08-04T06:33:00+02:00,2026-08-04T06:31:00+02:00,-120.0
alexanderplatz,S3,suburban,S Friedrichshagen (Berlin),2026-08-04T06:32:00+02:00,2026-08-04T06:32:00+02:00,0.0
alexanderplatz,M4,tram,S Hackescher Markt,2026-08-04T06:33:00+02:00,2026-08-04T06:32:00+02:00,-60.0
